timestamp,games
2026-09-16T05:13:01Z,1170
2026-09-16T05:28:01Z,1156
2026-09-16T05:43:00Z,1150
2026-09-16T05:58:21Z,1135
2026-09-16T06:03:03Z,1135
2026-09-16T06:28:06Z,1134
2026-09-16T06:43:03Z,1141
2026-09-16T06:58:03Z,1140
2026-09-16T07:13:01Z,1140
2026-09-16T07:28:02Z,1130
2026-09-16T07:43:02Z,1130
2026-09-16T11:23:03Z,1351
2026-09-16T15:29:56Z,1517
2026-09-16T19:01:03Z,1471
2026-09-16T20:04:40Z,1424
2026-09-16T20:28:03Z,1410
2026-09-16T20:43:04Z,1391
2026-09-16T20:58:04Z,1384
2026-09-16T21:13:02Z,1381
2026-09-16T21:28:01Z,1370
2026-09-16T21:43:01Z,1379
2026-09-16T21:58:03Z,1390
2026-09-16T22:02:12Z,1390
2026-09-16T22:28:04Z,1393
2026-09-16T22:43:01Z,1402
2026-09-16T22:58:00Z,1414
2026-09-16T23:28:01Z,1438
2026-09-16T23:43:01Z,1437
2026-09-16T23:58:01Z,1447
2026-09-17T00:13:00Z,1464
2026-09-17T00:18:18Z,1449
2026-09-17T00:43:02Z,1422
2026-09-17T00:58:00Z,1406
2026-09-17T01:13:02Z,1390
2026-09-17T01:28:01Z,1377
2026-09-17T01:43:03Z,1378
2026-09-17T01:58:03Z,1352
2026-09-17T02:13:01Z,1336
2026-09-17T02:27:59Z,1326
2026-09-17T02:43:03Z,1298
2026-09-17T02:58:01Z,1282
2026-09-17T03:13:01Z,1249
2026-09-17T03:28:01Z,1210
2026-09-17T03:43:01Z,1200
2026-09-17T03:58:01Z,1187
2026-09-17T04:13:02Z,1179
2026-09-17T04:28:07Z,1159
2026-09-17T04:43:02Z,1158
2026-09-17T04:58:00Z,1148
2026-09-17T04:59:36Z,1136
2026-09-17T05:12:59Z,1133
2026-09-17T05:28:02Z,1100
2026-09-17T05:43:01Z,1100
2026-09-17T05:58:03Z,1090
2026-09-17T06:13:00Z,1100
2026-09-17T06:28:01Z,1097
2026-09-17T06:43:03Z,1093
2026-09-17T06:58:02Z,1091
2026-09-17T07:12:59Z,1103
2026-09-17T09:53:23Z,1212
2026-09-17T14:45:21Z,1546
2026-09-17T15:18:24Z,1542
2026-09-17T15:43:04Z,1525
2026-09-17T15:58:03Z,1534
2026-09-17T16:13:10Z,1525
2026-09-17T16:28:03Z,1523
2026-09-17T16:43:01Z,1516
2026-09-17T16:58:01Z,1512
2026-09-17T17:13:02Z,1503
2026-09-17T17:28:02Z,1515
2026-09-17T17:43:01Z,1510
2026-09-17T17:58:02Z,1503
2026-09-17T18:13:03Z,1503
2026-09-17T18:28:05Z,1483
2026-09-17T18:35:34Z,1479
2026-09-17T18:58:02Z,1462
2026-09-17T19:13:03Z,1454
2026-09-17T19:28:01Z,1432
2026-09-17T19:43:07Z,1423
2026-09-17T19:58:03Z,1406
2026-09-17T20:13:04Z,1399
2026-09-17T20:28:01Z,1372
2026-09-17T20:43:03Z,1369
2026-09-17T20:58:02Z,1365
2026-09-17T21:13:04Z,1354
2026-09-17T21:28:02Z,1319
2026-09-17T21:43:06Z,1328
2026-09-17T21:47:15Z,1326
2026-09-17T22:13:03Z,1331
2026-09-17T22:28:02Z,1342
2026-09-17T22:43:04Z,1359
2026-09-17T22:58:03Z,1367
2026-09-17T23:13:01Z,1365
2026-09-17T23:43:21Z,1383
2026-09-18T00:49:05Z,1362
2026-09-18T01:13:04Z,1352
2026-09-18T01:28:04Z,1347
2026-09-18T01:32:53Z,1335
2026-09-18T01:58:01Z,1328
2026-09-18T02:13:03Z,1321
2026-09-18T02:28:02Z,1315
2026-09-18T02:43:01Z,1284
2026-09-18T02:58:02Z,1258
2026-09-18T03:13:03Z,1240
2026-09-18T03:28:04Z,1223
2026-09-18T03:43:01Z,1205
2026-09-18T03:58:03Z,1208
2026-09-18T04:13:04Z,1192
2026-09-18T04:28:01Z,1182
2026-09-18T04:43:02Z,1186
2026-09-18T04:58:06Z,1175
2026-09-18T05:13:04Z,1169
2026-09-18T05:28:03Z,1161
2026-09-18T05:43:02Z,1164
